rang,titre,note,episodes,description
1,Frieren: Beyond Journey's End,4.616,28,"Elf mage Frieren and her courageous fellow adventurers have defeated the Demon King and brought peace to the land. With the great struggle over, they all go their separate ways to live a quiet life. But as an elf, Frieren, nearly immortal, will long outlive the rest of her former party. How will she come to terms with the mortality of her friends? How can she find fulfillment in her own life, and can she learn to understand what life means to the humans around her? Frieren begins a new journey to find the answer."
13,Bleach: Thousand-Year Blood War,4.503,13,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents there are disappearing without a trace and nobody knows who's behind it. Meanwhile, a dark shadow is also extending itself toward Ichigo and his friends in Karakura Town…"
12,Haikyuu!! Karasuno High School vs Shiratorizawa Academy,4.513,10,"Picking up where the second season ended, the boys prepare to finally face off for the right to represent the prefecture in the volleyball national championship. Despite being known as “The Fallen Champions,” Karasuno is determined to take down the powerhouse that is the Shiratorizawa High volleyball team. As Hinata comes closer to fulfilling his promise to defeat Ushijima’s team, will the “Flightless Crows” finally find their wings and soar above the best school in the prefecture?"
11,ALIEN STAGE,4.518,10+,No synopsis yet - check back soon!
10,Fruits Basket the Final Season,4.528,13,The final arc of
9,Attack on Titan 3rd Season: Part II,4.528,10,"The battle to retake Wall Maria begins now! With Eren’s new hardening ability, the Scouts are confident they can seal the wall and take back Shiganshina District. If they succeed, Eren can finally unlock the secrets of the basement—and the world. But danger lies in wait as Reiner, Bertholdt, and the Beast Titan have plans of their own. Could this be humanity’s final battle for survival?"
8,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,4.532,11,"Tanjiro and his friends accompany the Hashira Tengen Uzui to an entertainment district where Tengen’s female ninja agents were gathering information on a demon before they suddenly disappeared. In order to investigate, Tanjiro and the others disguise themselves as women to sneak in!"
7,Heaven Official's Blessing 2nd Season,4.541,12,"When Xie Lian is sent on a mission to Ghost City in search of a missing heavenly official, he again encounters the mysterious and captivating Hua Cheng. Both the misfit god and infamous ghost king clearly treasure the bond forming between them, but Xie Lian fears his duty may put them at odds... or perhaps it will bring them closer together..? And when a crime committed by Xie Lian in the past is revealed to the heavenly court, will he again become a pariah to those who already see him as the laughingstock of the three realms?"
6,The Master of Diabolism 3,4.542,12,The third season of
5,Solo Leveling Season 2: Arise from the Shadow,4.559,13,The second season of
4,Fullmetal Alchemist: Brotherhood,4.568,64,"The foundation of alchemy is based on the law of equivalent exchange; you cannot produce something from nothing. As such, alchemy is bound by one taboo - human transmutation. Four years ago two young brothers, Edward and Alphonse Elric, broke this taboo when they tried to resurrect their dead mother. During the process Al's body disintegrated and Ed lost his leg. In a desperate attempt to prevent his brother from disappearing completely, Ed sacrificed one of his arms so he could affix Al's soul to a suit of armor. When his missing limbs are replaced by auto mail parts, Ed bears the name of the Fullmetal Alchemist - the youngest ever State Alchemist and dog of the military. Now, alongside his brother, Ed uses his status within the military to attempt to find any way that he can return their bodies back to their original state."
3,The Apothecary Diaries 2nd Season,4.57,22+,The second season of
2,The Apothecary Diaries,4.591,24,"In the East is a land ruled by an emperor, whose consorts and serving women live in a sprawling complex known as the hougong, the rear palace. Maomao, an unassuming girl raised in an unassuming town by her apothecary father, never imagined the rear palace would have anything to do with her—until she was kidnapped and sold into service there."
25,Haikyuu!! Movie 5: The Dumpster Battle,4.469,?,"Shoyo Hinata joins Karasuno High's volleyball club to be like his idol, a former Karasuno player known as the “Little Giant.” But, Hinata soon finds that he must team up with his middle school nemesis, Tobio Kageyama. Their clashing styles turn into a surprising weapon, but can they beat their rival Nekoma High in the highly anticipated “Dumpster Battle,” the long-awaited ultimate showdown between two opposing underdog teams?"
24,Link Click 2nd Season,4.471,12,The second season of
23,Attack on Titan The Final Season,4.472,16,"It's been four years since the Scout Regiment reached the shoreline, and the world looks different now. Things are heating up as the fate of the Scout Regiment—and the people of Paradis—are determined at last. However, Eren is missing. Will he reappear before age-old tensions between Marleyans and Eldians result in the war of all wars?"
100,Oshi no Ko,4.349,11,"In the entertainment industry, lying is both your strongest weapon and an exceptional form of love. Goro, a gynecologist and a massive B-Komachi stan, finds his life turned upside down when his newest patient turns out to be B-Komachi member Ai-chan herself! Despite the industry seeing children as a idol's death sentence, the 16-year-old Ai still desperately wants to give birth. So under the cover of secrecy, Goro helps the young idol with her prenatal care... only to be attacked and killed the night she's due to give birth. Reincarnated as one of her newborn twins, Goro (now Aquamarine Hoshino) gets to spend 24 hours a day in the arms of his favourite idol! But can a ditzy young idol with a life full of lies make a good mother? And what of Ruby, his suspiciously verbose sister?"
99,The Disastrous Life of Saiki K. 2nd Season,4.349,24,Second season of
98,Fights Break Sphere 5th Season,4.35,151+,The fifth season of
97,Natsume's Book of Friends Season 7,4.35,12,The seventh season of
96,JoJo's Bizarre Adventure: Diamond is Unbreakable,4.352,39,"It has been 11 years since the defeat of the Joestar's arch nemesis, Dio. In 1999, Jotaro Kujo went to Morioh in S City in M Prefecture, Japan, to find his grandfather, Joseph Joestar's secret child, Josuke Higashikata. However, Josuke had the same ability as Jotaro, the Stand. And as though Jotaro was summoning them, a new group of Stand Users start to make their moves. There's something in this town... Josuke rises up to save Morioh, his hometown that he grew up in."
95,Attack on Titan 2nd Season,4.354,12,"Eren Jaeger swore to wipe out every last Titan, but in a battle for his life he wound up becoming the thing he hates most. With his new powers, he fights for humanity's freedom facing the monsters that threaten his home. After a bittersweet victory against the Female Titan, Eren finds no time to rest—a horde of Titans is approaching Wall Rose and the battle for humanity continues!"
