rang,titre,note,episodes,description
MADHOUSE,Frieren: Beyond Journey's End,"4.616 out of 5 from 15,352 votes",28,Non disponible
"TOHO animation STUDIO, OLM",The Apothecary Diaries,"4.591 out of 5 from 14,260 votes",24,Non disponible
"TOHO animation STUDIO, OLM",The Apothecary Diaries 2nd Season,"4.57 out of 5 from 2,870 votes",22+,Non disponible
Bones,Fullmetal Alchemist: Brotherhood,"4.568 out of 5 from 86,992 votes",64,Non disponible
A-1 Pictures,Solo Leveling Season 2: Arise from the Shadow,"4.559 out of 5 from 10,274 votes",13,Non disponible
B.C MAY PICTURES,The Master of Diabolism 3,"4.542 out of 5 from 3,539 votes",12,Non disponible
Red Dog Culture House,Heaven Official's Blessing 2nd Season,"4.541 out of 5 from 2,659 votes",12,Non disponible
ufotable,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,"4.532 out of 5 from 29,773 votes",11,Non disponible
WIT Studio,Attack on Titan 3rd Season: Part II,"4.528 out of 5 from 44,665 votes",10,Non disponible
"TMS Entertainment, 8 Pan",Fruits Basket the Final Season,"4.528 out of 5 from 11,573 votes",13,Non disponible
LICO,ALIEN STAGE,4.518 out of 5 from 915 votes,10+,No synopsis yet - check back soon!
Production I.G,Haikyuu!! Karasuno High School vs Shiratorizawa Academy,"4.513 out of 5 from 31,332 votes",10,Non disponible
Pierrot,Bleach: Thousand-Year Blood War,"4.503 out of 5 from 7,741 votes",13,Non disponible
Kyoto Animation,A Silent Voice,"4.494 out of 5 from 62,217 votes",?,Non disponible
Production I.G,Haikyuu!! Second Season,"4.492 out of 5 from 39,231 votes",25,Non disponible
CoMix Wave Films,your name.,"4.491 out of 5 from 66,464 votes",?,Non disponible
MAPPA,Jujutsu Kaisen,"4.489 out of 5 from 58,021 votes",24,Non disponible
MAPPA,Attack on Titan The Final Season: The Final Chapters,"4.487 out of 5 from 10,696 votes",2,Non disponible
Haoliners Animation League,Heaven Official's Blessing Special,"4.486 out of 5 from 4,580 votes",?,No synopsis yet - check back soon!
"Studio Live, MADHOUSE",Hunter x Hunter (2011),"4.485 out of 5 from 65,372 votes",148,Non disponible
ufotable,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train,"4.477 out of 5 from 34,213 votes",?,Non disponible
Production I.G,Haikyuu!! To the Top: Part II,"4.475 out of 5 from 17,672 votes",12,Non disponible
MAPPA,Attack on Titan The Final Season,"4.472 out of 5 from 34,714 votes",16,Non disponible
"Studio LAN, Pb Animation, HuaMei Animation",Link Click 2nd Season,"4.471 out of 5 from 2,463 votes",12,Non disponible
Production I.G,Haikyuu!! Movie 5: The Dumpster Battle,"4.469 out of 5 from 2,282 votes",?,Non disponible
A-1 Pictures,Kaguya-sama: Love is War - Ultra Romantic,"4.468 out of 5 from 10,447 votes",13,Non disponible
Toei Animation,One Piece: Fan Letter,"4.468 out of 5 from 1,553 votes",?,No synopsis yet - check back soon!
BN Pictures,Gintama: The Very Final,"4.467 out of 5 from 1,544 votes",?,Non disponible
Sunrise,Code Geass: Lelouch of the Rebellion R2,"4.465 out of 5 from 61,573 votes",25,Non disponible
MAPPA,Jujutsu Kaisen Season 2,"4.46 out of 5 from 16,492 votes",23,Non disponible
Kyoto Animation,Violet Evergarden Movie,"4.46 out of 5 from 9,945 votes",?,Non disponible
B.C MAY PICTURES,The Master of Diabolism 2,"4.459 out of 5 from 5,673 votes",8,Non disponible
Haoliners Animation League,Heaven Official's Blessing,"4.458 out of 5 from 9,865 votes",11,Non disponible
ufotable,Demon Slayer: Kimetsu no Yaiba,"4.456 out of 5 from 71,986 votes",26,Non disponible
Sunrise,Gintama': Enchousen,"4.45 out of 5 from 8,062 votes",13,Non disponible
